Number: ghfuger, Min base: 31, Number in decimal system: 14701516845
Number: -jjfdjGHJ, Min base: 20, Number in decimal system: -25586238759
Number: 0, Min base: 2, Number in decimal system: 0
Number: -0, Min base: 2, Number in decimal system: 0
Number: 0, Min base: 2, Number in decimal system: 0
Number: 123, Min base: 4, Number in decimal system: 27
Number: gthrjj, Min base: 30, Number in decimal system: 412773889
Number: FGH, Min base: 18, Number in decimal system: 5165
Number: 5687, Min base: 9, Number in decimal system: 4210
Number: 12, Min base: 3, Number in decimal system: 5
Number: sdfgh, Min base: 29, Number in decimal system: 20134021
Number: AS, Min base: 29, Number in decimal system: 318
Number: SDw, Min base: 33, Number in decimal system: 30953
Number: 0, Min base: 2, Number in decimal system: 0
Number: 0, Min base: 2, Number in decimal system: 0
Number: 1000, Min base: 2, Number in decimal system: 8
Number: GH00fd, Min base: 18, Number in decimal system: 32017963
Number: FD00, Min base: 16, Number in decimal system: 64768
Number: 210, Min base: 3, Number in decimal system: 21
Number: 606, Min base: 7, Number in decimal system: 300
Number: gh, Min base: 18, Number in decimal system: 305
Number: 0, Min base: 2, Number in decimal system: 0
Number: 8, Min base: 9, Number in decimal system: 8
Number: 80, Min base: 9, Number in decimal system: 72
Number: 8, Min base: 9, Number in decimal system: 8
Number: ghg, Min base: 18, Number in decimal system: 5506
Number: ASDf0, Min base: 29, Number in decimal system: 7767070
Number: -0, Min base: 2, Number in decimal system: 0
Number: 0, Min base: 2, Number in decimal system: 0
Number: 0, Min base: 2, Number in decimal system: 0
Number: 0, Min base: 2, Number in decimal system: 0
Number: -AFDfgd, Min base: 17, Number in decimal system: -15519874
Number: gfhdh, Min base: 18, Number in decimal system: 1772855
Number: hcdh56, Min base: 18, Number in decimal system: 33463788
